Rank,Name,Park,Location,Supplier,Year,Awarded,Type,Design,Status,Opened,City,Region,Country,Make,Length (ft),Height (ft),Speed (mph),Inversions,Elements,Drop (ft),Duration,G-Force,Vertical Angle (°),Uphill Length (ft),Downhill Length (ft),Δ Elevation (ft),Airtime Points,Crossings,Bank Angle (°),Drop,Designer
21,Alpengeist,Busch Gardens Williamsburg,"Williamsburg, Virginia",B&M,1997,2021,Steel,Inverted,Operating,3/22/1997,Williamsburg,Virginia,United States,Bolliger & Mabillard,3828,195.0,67.0,6.0,"['Chain Lift Hill', 'Immelmann', 'Loop', 'Tunnel', 'Cobra Roll', 'Block Brake', 'Zero-G Roll', 'Corkscrew']",170.0,3:10,3.7,,,,,,,,,
22,Montu,Busch Gardens Tampa,"Tampa, Florida",B&M,1996,2021,Steel,Inverted,Operating,5/16/1996,Tampa,Florida,United States,Bolliger & Mabillard,3983,150.0,60.0,7.0,"['Chain Lift Hill', 'Loop', 'Immelmann', 'Zero-G Roll', 'Batwing', 'Block Brake', 'Loop', 'Corkscrew']",128.0,3:00,3.8,50.0,,,,,,,,
23,Intimidator,Carowinds,"Charlotte, North Carolina",B&M,2010,2021,Steel,Sit Down,Operating,3/27/2010,Charlotte,North Carolina,United States,Bolliger & Mabillard,5316,232.0,75.0,0.0,"['Chain Lift Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill']",211.0,3:33,,74.0,,,,,,,,
23,Steel Curtain,Kennywood,"West Mifflin, Pennsylvania",S&S,2019,2021,Steel,Sit Down,Operating,7/13/2019,West Mifflin,Pennsylvania,United States,S&S Worldwide,4000,220.0,75.0,8.0,"['Chain Lift Hill', 'Drachen Fire Dive Drop', 'Banana Roll', 'Sea Serpent', 'Dive Loop', 'Zero-G Stall', 'Corkscrew', 'Cutback']",,2:00,,,,,,,,,,
26,Time Traveler,Silver Dollar City,"Branson, Missouri",Mack,2018,2021,Steel,Sit Down,Operating,3/14/2018,Branson,Missouri,United States,Mack Rides GmbH & Co KG,3020,100.0,50.3,3.0,"['Dive Loop', 'LSM Launch', 'Loop', 'Zero-G Roll', 'LSM Boost']",90.0,1:57,,90.0,,,,,14.0,,,
26,X2,Six Flags Magic Mountain,"Valencia, California",Arrow,2002,2021,Steel,Wing,Operating,1/12/2002,Valencia,California,United States,Arrow Dynamics,3610,175.0,76.0,2.0,"['Chain Lift Hill', 'Inside Raven Turn', 'Fly To Lie', 'Outside Raven Turn', 'Fly To Lie']",215.0,,4.0,88.5,,,,,,,,
28,Goliath,Six Flags Over Georgia,"Austell, Georgia",B&M,2006,2021,Steel,Sit Down,Operating,4/1/2006,Austell,Georgia,United States,Bolliger & Mabillard,4480,200.0,70.0,0.0,"['Chain Lift Hill', 'Hill', 'Hill', 'Helix', 'Hill', 'Horseshoe', 'Hill', 'Hill', 'Hill']",175.0,,,,,,,,,,,
31,Orion,Kings Island,"Mason, Ohio",B&M,2020,2021,Steel,Sit Down,Operating,7/2/2020,Mason,Ohio,United States,Bolliger & Mabillard,5321,287.0,91.0,0.0,"['Chain Lift Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill', 'Hill']",300.0,3:00,,85.0,,,,,,,,
33,Skyrush,Hersheypark,"Hershey, Pennsylvania",Intamin,2012,2021,Steel,Sit Down,Operating,5/26/2012,Hershey,Pennsylvania,United States,Intamin Amusement Rides,3600,200.0,75.0,0.0,['Cable Lift Hill'],,,,85.0,,,,,,,,
35,Steel Dragon 2000,Nagashima Spa Land,"Nagashima, Japan",Morgan,2000,2021,Steel,Sit Down,Operating,8/1/2000,Kuwana,Mie,Japan,"D.H. Morgan Manufacturing, Inc.",8133,318.2,95.0,0.0,"['Chain Lift Hill', 'Hill', 'Hill', 'Block Brake', 'Tunnel', 'Tunnel']",306.8,4:00,,68.0,,,,,,,,
36,New Texas Giant,Six Flags Over Texas,"Arlington, Texas",Rocky Mountain,2011,2021,Steel,Sit Down,Operating,4/22/2011,Arlington,Texas,United States,Rocky Mountain Construction,4200,153.0,65.0,0.0,"['Chain Lift Hill', 'Over-Banked Curve']",147.0,,,79.0,,,,,,,,
