Name,Park,Type,Design,Status,City,Region,Country,Make,Length (ft),Height (ft),Speed (mph),Inversions,Elements,Drop (ft),Rank
Toxic Garden,Heide Park Resort,Steel,Inverted,Operating,Soltau,Lower Saxony,Germany,Vekoma,2260,109.3,49.7,5.0,"['Chain Lift Hill', 'Roll Over', 'Sidewinder', 'Double In-Line Twist']",,No
Train de la Mine,La Coccinelle,Steel,Sit Down,Operating,Gujan-Mestras,Nouvelle-Aquitaine,France,Soquet,984,32.8,24.9,0.0,,31.2,No
Tranan,Skara Sommarland,Steel,Suspended,Operating,Skara,Västra Götaland,Sweden,S&S Worldwide,1640,65.6,24.9,0.0,['Chain Lift Hill'],,No
Traumatizer,Southport Pleasureland,Steel,Inverted,Relocated,Merseyside,England,United Kingdom,Vekoma,2260,109.3,49.7,5.0,"['Chain Lift Hill', 'Roll Over', 'Sidewinder', 'Double In-Line Twist']",,No
Traumlandbahn,Movie Park Germany,Steel,Sit Down,Relocated,Bottrop,North Rhine-Westphalia,Germany,Schwarzkopf,2788,78.8,53.0,0.0,,,No
Treetops Rollercoaster,Oakwood Theme Park,Steel,Sit Down,Operating,Pembrokeshire,Wales,United Kingdom,Zierer,1181,26.3,22.4,0.0,['Booster Wheel Lift Hill'],,No
Tremors,Silverwood Theme Park,Wood,Sit Down,Operating,Athol,Idaho,United States,"Custom Coasters International, Inc.",3158,85.0,50.0,0.0,"['Chain Lift Hill', 'Tunnel', 'Tunnel', 'Tunnel', 'Tunnel']",99.0,No
Tren Minero,Fantasilandia,Steel,Sit Down,Operating,Santiago,Santiago,Chile,Vekoma,2575,45.9,30.1,0.0,"['Chain Lift Hill', 'Chain Lift Hill']",,No
Triops,Bagatelle,Steel,Inverted,Operating,Merlimont,Hauts-de-France,France,Vekoma,1013,131.2,50.0,3.0,"['Chain Lift Hill', 'Cobra Roll', 'Loop', 'Chain Lift Hill']",,No
Triple Loop Coaster,Sunway Lagoon,Steel,Sit Down,Relocated,Subang Jaya,Selangor,Malaysia,Schwarzkopf,3379,108.3,53.4,3.0,"['Booster Wheel Lift Hill', 'Loop', 'Loop', 'Loop']",100.9,No
Trombi,Särkänniemi Amusement Park,Steel,Flying,Operating,Tampere,Pirkanmaa,Finland,Zamperla,1282,50.0,25.7,2.0,"['Spiral Lift', 'Heartline Roll', 'Heartline Roll']",,No
TRON Lightcycle Power Run,Shanghai Disneyland,Steel,Sit Down,Operating,Pudong,Shanghai,China,Vekoma,3169,78.1,59.3,0.0,['LSM Launch'],,No
Troy,Toverland,Wood,Sit Down,Operating,Sevenum,Limburg,Netherlands,Great Coasters International,3534,104.5,54.0,0.0,['Chain Lift Hill'],100.7,Yes
Tsunami,Six Flags Mexico,Steel,Sit Down,Operating,Mexico City,Mexico City,Mexico,Zierer,1181,26.3,22.4,0.0,['Booster Wheel Lift Hill'],,No
Tsunami,Isla San Marcos Parque Temático,Steel,Sit Down,Removed,Aguascalientes,Aguascalientes,Mexico,Schwarzkopf,3675,115.0,54.0,4.0,"['Booster Wheel Lift Hill', 'Loop', 'Loop', 'Loop', 'Loop']",98.0,No
Tsunami,Scene75 Entertainment Center,Steel,Sit Down,Operating,Dayton,Ohio,United States,SBF Visa Group,393,20.0,11.2,0.0,['Booster Wheel Lift Hill'],,No
Tuff-Tuff Tåget,Gröna Lund,Steel,Sit Down,Operating,Stockholm,Stockholm,Sweden,Zamperla,262,8.0,4.5,0.0,['Booster Wheel Lift Hill'],,No
Tulireki,Linnanmäki,Steel,Sit Down,Operating,Helsinki,Uusimaa,Finland,Mack Rides GmbH & Co KG,1102,54.2,36.0,0.0,['Chain Lift Hill'],,No
Tumbili,Kings Dominion,Steel,Wing,Operating,Doswell,Virginia,United States,S&S Worldwide,770,112.0,34.0,0.0,['Vertical Chain Lift Hill'],,No
Turbo Track,Ferrari World Abu Dhabi,Steel,Sit Down,Operating,Abu Dhabi,Abu Dhabi,United Arab Emirates,Intamin Amusement Rides,590,210.0,63.4,0.0,"['LSM Launch', 'LSM Boost', 'Twisted Vertical Rollback']",,No
Turbulence,Adventureland,Steel,Sit Down,Operating,Farmingdale,New York,United States,Mack Rides GmbH & Co KG,1253,55.0,40.0,0.0,['Chain Lift Hill'],,No
Duurzame Landbouw,Wildlands Adventure Zoo Emmen,Steel,Sit Down,Operating,Emmen,Drenthe,Netherlands,Vekoma,730,65.6,37.3,0.0,,,No
Twilight Express,Six Flags Qiddiya,Steel,Sit Down,Under Construction,Al Muzahimiyah,Ar Riyadh,Saudi Arabia,Vekoma,1148,41.0,24.9,0.0,,,No
Twin Looper,American Adventure Theme Park,Steel,Sit Down,Relocated,Derbyshire,England,United Kingdom,Soquet,0,65.6,43.5,2.0,"['Chain Lift Hill', 'Loop', 'Loop']",,No
Twin Spin,Enchanted Kingdom,Steel,Sit Down,Operating,Santa Rosa,Laguna,Philippines,Mack Rides GmbH & Co KG,1259,55.8,36.7,0.0,,,No
Twist,Le Pal,Steel,Sit Down,Operating,Dompierre Sur Besbre,Auvergne-Rhône-Alpes,France,Mack Rides GmbH & Co KG,1542,72.2,43.5,0.0,['Chain Lift Hill'],,No
Twist and Shout,Loudoun Castle,Steel,Sit Down,Relocated,East Ayrshire,Scotland,United Kingdom,Schwarzkopf,1817,60.0,41.0,1.0,['Loop'],,No
Twist Coaster Robin,Yomiuriland,Steel,Sit Down,Removed,Inagi,Tokyo,Japan,Sansei Technologies,1026,62.3,38.5,2.0,"['Chain Lift Hill', 'In-Line Twist', 'Block Brake', 'Dive Loop']",,No
Twisted Coaster,HotZone,Steel,Sit Down,Operating,Rio De Janeiro,Rio De Janeiro,Brazil,Zamperla,574,26.3,17.4,0.0,['Booster Wheel Lift Hill'],,No
Twisted Colossus,Six Flags Magic Mountain,Steel,Sit Down,Operating,Valencia,California,United States,Rocky Mountain Construction,4990,121.0,57.0,2.0,"['Chain Lift Hill', 'High Five', 'Zero-G Roll', 'Chain Lift Hill', 'High Five', 'Top Gun Stall']",128.0,Yes
Twisted Cyclone,Six Flags Over Georgia,Steel,Sit Down,Operating,Austell,Georgia,United States,Rocky Mountain Construction,2400,100.0,50.0,3.0,"['Chain Lift Hill', 'Step-Up Under Flip', 'Barrel Roll Downdrop', 'Zero-G Roll']",,No
