Rank,Name,Park,Location,Supplier,Year,Awarded
32,Comet,The Great Escape,"Lake George, N.Y.",PTC/Schmeck,1994,2018
33,Boardwalk Bullet,Kemah Boardwalk,"Kemah, Texas",M&V/Gravity Group,2007,2018
34,Flying Turns,Knoebels Amusement Resort,"Elysburg, Pa.",Knoebels,2013,2018
35,Rutschebanan,Tivoli Gardens,"Copenhagen, Denmark",L.A. Thompson,1914,2018
36,Switchback,ZDTs,"Seguin, Texas",Gravity Group,2015,2018
37,Blue Streak,Conneaut Lake Park,"Conneaut Lake, Pa.",Vettel/NAD,1938,2018
38 – tie,American Thunder,Six Flags St. Louis,"Eureka, Mo.",Great Coasters Int.,2008,2018
38 – tie,Screamin’ Eagle,Six Flags St. Louis,"Eureka, Mo.",Allen/PTC,1976,2018
40,Grizzly,Kings Dominion,"Doswell, Va.",Summers-KECO,1982,2018
41,Blue Streak,Cedar Point,"Sandusky, Ohio",PTC/Hoover,1964,2018
42,Playland Wooden Coaster,PNE Playland,"Vancouver, B.C., Canada",Phare,1959,2018
43,Boss,Six Flags St. Louis,"Eureka, Mo.",Custom Coasters,2000,2018
44,Wild One,Six Flags America,"Upper Marlboro, Md.",PTC/Miller/Dinn,1986,2018
45,T Express,Everland,"Yonjin-si, South Korea",Intamin,2008,2018
46,Megafobia,Oakwood,"Pembrookshire, Wales",Custom Coasters,1996,2018
47,Hades 360,Mount Olympus,"Wisconsin Dells, Wis.",Gravity Group,2005,2018
48,Mine Blower,Fun Spot,"Kissimmee, Fla.",Gravity Group,2017,2018
49,Wooden Warrior,Quassy Amusement Park,"Meddlebury, Conn.",Gravity Group,2011,2018
50,Twister,Knoebels Amusement Resort,"Elysburg, Pa.",Fetterman/Knoebels,1999,2018
1,El Toro,Six Flags Great Adventure,"Jackson, N.J.",Intamin,2009,2017
2,Phoenix,Knoebels Amusement Resort,"Elysburg, Pa.",Dinn-PTC/Schmeck,1985,2017
