Rank,Name,Park,Location,Supplier,Year,Awarded,Type,Design,Status,Opened,City,Region,Country,Make,Length (ft),Height (ft),Speed (mph),Inversions,Elements,Drop (ft),Duration,G-Force,Vertical Angle (°),Uphill Length (ft),Downhill Length (ft),Δ Elevation (ft),Airtime Points,Crossings,Bank Angle (°),Drop,Designer
15,Jack Rabbit,Kennywood,"West Mifflin, Pennsylvania",Miller,1920,2023,Wood,Sit Down,Operating,1920,West Mifflin,Pennsylvania,United States,,"2,132.00",40.00,45.00,0.00,"['Chain Lift Hill', 'Double Dip']",70.00,1:36,,45,,,,,,,,
16,Cyclone,Luna Park,"Brooklyn, New York",Baker/Keenan,1927,2023,Wood,Sit Down,Operating,6/26/1927,Brooklyn,New York,United States,,"2,850.30",75.00,60.00,0.00,,,1:50,,58.6,,,,,,,,
18,Thunderbolt,Kennywood,"West Mifflin, Pennsylvania",Vettel/Miller,1968,2023,Wood,Sit Down,Operating,5/4/1924,West Mifflin,Pennsylvania,United States,,"3,250.00",70.00,55.00,0.00,['Chain Lift Hill'],90.00,1:41,,,,,,,,,,
19,Troy,Toverland,"Sevenum, The Netherlands",Great Coasters Int.,2007,2023,Wood,Sit Down,Operating,6/29/2007,Sevenum,Limburg,Netherlands,Great Coasters International,"3,534.00",104.50,54.00,0.00,['Chain Lift Hill'],100.70,1:50,2.4,,,,,,,,,
21,Legend,Holiday World,"Santa Claus, Indiana",Custom Coasters Int.,2000,2023,Wood,Sit Down,Operating,5/6/2000,Santa Claus,Indiana,United States,"Custom Coasters International, Inc.","4,042.00",99.00,59.00,0.00,"['Chain Lift Hill', 'Hill', 'Hill', 'Tunnel', 'Tunnel', 'Tunnel', 'Helix', 'Double Down', 'Tunnel']",113.00,2:00,,,,,,,,,,
24,Prowler,Worlds of Fun,"Kansas City, Missouri",Great Coasters Int.,2009,2023,Wood,Sit Down,Operating,5/2/2009,Kansas City,Missouri,United States,Great Coasters International,"3,074.00",102.30,51.20,0.00,['Chain Lift Hill'],84.90,2:30,,,,,,,,,,
25,Comet,Six Flags Great Escape,"Queensbury, New York",PTC/Shmeck,1994,2023,Wood,Sit Down,Operating,6/25/1994,Queensbury,New York,United States,"Philadelphia Toboggan Coasters, Inc.","4,197.00",95.00,55.00,0.00,['Chain Lift Hill'],87.00,2:00,,,,,,,,,,
26,Raven,Holiday World,"Santa Claus, Indiana",Custom Coasters Int.,1995,2023,Wood,Sit Down,Operating,5/6/1995,Santa Claus,Indiana,United States,"Custom Coasters International, Inc.","2,800.00",80.00,48.00,0.00,['Chain Lift Hill'],85.00,1:30,,,,,,,,,,
29,Giant Dipper,Santa Cruz Beach Boardwalk,"Santa Cruz, California",Prior & Church/Looff,1924,2023,Wood,Sit Down,Operating,5/17/1924,Santa Cruz,California,United States,,"2,640.00",70.00,55.00,0.00,,65.00,1:52,,,,,,,,,,
30,Boardwalk Bullet,Kemah Boardwalk,"Kemah, Texas",The Gravity Group/M&V,2007,2023,Wood,Sit Down,Operating,8/31/2007,Kemah,Texas,United States,Martin & Vleminckx,"3,236.00",96.00,51.00,0.00,,92.00,,,56,,,,,,,,
32,Goliath,Six Flags Great America,"Gurnee, Illinois",Rocky Mountain Const.,2014,2023,Wood,Sit Down,Operating,6/19/2014,Gurnee,Illinois,United States,Rocky Mountain Construction,"3,100.00",165.00,72.00,2.00,"['Chain Lift Hill', 'Tunnel', 'Over-Banked Curve', 'Dive Loop', 'Zero-G Stall', 'Tunnel']",180.00,,,85,,,,,,,,
33,Texas Stingray,SeaWorld San Antonio,"San Antonio, Texas",Great Coasters Int.,2020,2023,Wood,Sit Down,Operating,2/22/2020,San Antonio,Texas,United States,Great Coasters International,"3,379.00",96.00,55.00,0.00,"['Chain Lift Hill', 'Tunnel']",100.00,,,,,,,,,,,
34,White Lightning,Fun Spot America,"Orlando, Florida",Great Coasters Int.,2013,2023,Wood,Sit Down,Operating,13-May,Orlando,Florida,United States,Great Coasters International,"2,032.00",69.70,44.30,0.00,['Chain Lift Hill'],67.20,1:15,,,,,,,,,,
36,Cú Chulainn,Emerald Park,"Ashbourne, Ireland",The Gravity Group,2015,2023,Wood,Sit Down,Operating,6/6/2015,Ashbourne,Meath,Ireland,Gravitykraft Corporation,"3,590.00",105.00,56.00,0.00,"['Chain Lift Hill', 'Tunnel', 'Over-Banked Curve', 'Tunnel']",105.80,2:45,,65,,,,19,,,,
